交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-04-23 15:23:02,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504230084098535,`wx36177abf9259c7ff1429773775,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:13:33,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086250851,`wx36177abf9259c7ff1429856007,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:26:07,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086267920,`wx36177abf9259c7ff1429856759,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:37:16,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086288144,`wx36177abf9259c7ff1429857430,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:38:55,`wx36177abf9259c7ff,`10161187,`0,`,`1001500035201504240086294530,`wx36177abf9259c7ff1429857530,`o6j3_sgwPKcd3mO-xPttyOYtPpmc,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:39:56,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086305121,`wx36177abf9259c7ff1429857587,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:45:40,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086320854,`wx36177abf9259c7ff1429857933,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 14:46:43,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086331213,`wx36177abf9259c7ff1429857996,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-24 15:12:23,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504240086362781,`wx36177abf9259c7ff1429859538,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-25 12:08:58,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008260319201504250088350282,`12898095933272853241,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`测试商品,`,`0.01000,`0.60%
`2015-04-27 10:06:00,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092352578,`wx36177abf9259c7ff1430100339,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`3.00,`2.00,`0,`0,`0,`0,`,`,`海参,`,`0.03000,`0.60%
`2015-04-27 10:10:23,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092371540,`wx36177abf9259c7ff1430100614,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`6.00,`4.00,`0,`0,`0,`0,`,`,`海参,`,`0.03000,`0.60%
`2015-04-27 10:16:42,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092352578,`wx36177abf9259c7ff1430100339,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`REFUND,`CFT,`CNY,`0,`0,`2004180035201504270003926319,`101611872015042700923525781430101002,`3.00,`2.00,`ORIGINAL,`SUCCESS,`海参,`,`-0.03000,`0.60%
`2015-04-27 10:17:20,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092371540,`wx36177abf9259c7ff1430100614,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`REFUND,`CFT,`CNY,`0,`0,`2004180035201504270003920371,`101611872015042700923715401430101040,`6.00,`4.00,`ORIGINAL,`SUCCESS,`海参,`,`-0.03000,`0.60%
`2015-04-27 10:18:53,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092378581,`wx36177abf9259c7ff1430101122,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`6.00,`3.50,`0,`0,`0,`0,`,`,`海参,`,`0.04000,`0.60%
`2015-04-27 10:19:20,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504270092378581,`wx36177abf9259c7ff1430101122,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`REFUND,`CFT,`CNY,`0,`0,`2004180035201504270003932030,`101611872015042700923785811430101159,`6.00,`3.50,`ORIGINAL,`SUCCESS,`海参,`,`-0.04000,`0.60%
